L M s l' alpha Re(C) Im(C) Im(A)
1 0 0 1 0.247 0 0.000720539369157124 1.11858800862034
1 1 0 1 0.247 0.000408685635670645 -2.88733699161627e-5 1.11858800862034
1 -1 1 0 0.247 -3.60200070742614e-6 -2.96188616165718e-5 1.11858800862034
1 0 1 0 0.247 0.000316005960178687 0 1.11858800862034
1 1 1 0 0.247 3.60200070742614e-6 -2.96188616165718e-5 1.11858800862034
1 -1 1 2 0.247 -2.91045890217364e-5 0.000331355335255624 1.11858800862034
1 0 1 2 0.247 -0.000320415037758956 0 1.11858800862034
1 1 1 2 0.247 2.91045890217364e-5 0.000331355335255624 1.11858800862034
1 -1 2 1 0.247 7.84831458543870e-6 -9.54447036311358e-7 1.11858800862034
1 0 2 1 0.247 0 8.37342845401030e-5 1.11858800862034
1 1 2 1 0.247 7.84831458543870e-6 9.54447036311358e-7 1.11858800862034
1 -1 2 3 0.247 -7.18598764020568e-5 -6.58577802242120e-6 1.11858800862034
1 0 2 3 0.247 0 -5.67964428404651e-5 1.11858800862034
1 1 2 3 0.247 -7.18598764020568e-5 6.58577802242120e-6 1.11858800862034
1 -1 0 1 33.87 0 0 162.200870695300
1 0 0 1 33.87 0 0 162.200870695300
1 1 0 1 33.87 0 0 162.200870695300
1 -1 0 1 5.095 4.16522869355837e-14 -2.57838424540837e-15 24.3995700086375
1 0 0 1 5.095 0 -6.43439738078941e-14 24.3995700086375
1 1 0 1 5.095 4.16522869355837e-14 2.57838424540837e-15 24.3995700086375
1 -1 0 1 1.159 0.000388100956368158 -2.40244525606756e-5 5.55036342296582
1 0 0 1 1.159 0 -0.000599533893780939 5.55036342296582
1 1 0 1 1.159 0.000388100956368158 2.40244525606756e-5 5.55036342296582
1 -1 0 1 0.3258 0.0305110342333915 -0.00188871189954482 1.56023158171032
1 0 0 1 0.3258 0 -0.0471330947710325 1.56023158171032
1 1 0 1 0.3258 0.0305110342333915 0.00188871189954482 1.56023158171032
1 -1 0 1 0.1027 0.0248541723164282 -0.00153853752214015 0.491822539722683
1 0 0 1 0.1027 0 -0.0383944395422602 0.491822539722683
1 1 0 1 0.1027 0.0248541723164282 0.00153853752214015 0.491822539722683
1 -1 0 1 1.407 6.44712920545237e-5 -3.99093965648483e-6 6.73801668344514
1 0 0 1 1.407 0 -9.95945104702866e-5 6.73801668344514
1 1 0 1 1.407 6.44712920545237e-5 3.99093965648483e-6 6.73801668344514
1 0 1 0 1.407 -1.54868167147773e-5 0 6.73801668344514
1 -1 1 2 1.407 1.66673736812509e-6 1.91687388235592e-5 6.73801668344514
1 0 1 2 1.407 2.61068696220292e-5 0 6.73801668344514
1 1 1 2 1.407 -1.66673736812509e-6 1.91687388235592e-5 6.73801668344514
1 -1 1 0 1.407 0 -7.75642689874782e-6 6.73801668344514
1 1 1 0 1.407 0 -7.75642689874782e-6 6.73801668344514
1 -1 0 1 0.388 0.00469161439217886 -0.000290423060155931 1.85810268171764
1 0 0 1 0.388 0 -0.00724755195396489 1.85810268171764
1 1 0 1 0.388 0.00469161439217886 0.000290423060155931 1.85810268171764
1 0 1 0 0.388 -0.00149028002418339 0 1.85810268171764
1 -1 1 2 0.388 0.000121289472803877 0.00167552763202461 1.85810268171764
1 0 1 2 0.388 0.00153651734908008 0 1.85810268171764
1 1 1 2 0.388 -0.000121289472803877 0.00167552763202461 1.85810268171764
1 -1 1 0 0.388 0 -0.000283832743563094 1.85810268171764
1 1 1 0 0.388 0 -0.000283832743563094 1.85810268171764
1 -1 0 1 1.057 0.000447217552009878 -2.76839226656549e-5 5.06189313034933
1 0 0 1 1.057 0 -0.000690856530818021 5.06189313034933
1 1 0 1 1.057 0.000447217552009878 2.76839226656549e-5 5.06189313034933
1 -1 1 0 1.057 3.82224808801210e-6 -0.000129662752792287 5.06189313034933
1 0 1 0 1.057 -0.000186607034518582 0 5.06189313034933
1 1 1 0 1.057 -3.82224808801210e-6 -0.000129662752792287 5.06189313034933
1 -1 1 2 1.057 2.69455385282256e-5 0.000243880457466534 5.06189313034933
1 0 1 2 1.057 0.000390438220503824 0 5.06189313034933
1 1 1 2 1.057 -2.69455385282256e-5 0.000243880457466534 5.06189313034933
1 -1 2 1 1.057 3.24906574292665e-5 9.57771993597970e-7 5.06189313034933
