r l m Re(R) Im(R)
0.4 8 -8 0.0612634986245934 -0.0253879611438346
0.4 8 -6 0.0336333842390623 -0.0108506471008905
0.4 8 -4 0.0189512054166748 -0.00451043070316525
0.4 8 -2 0.00620461237588094 -0.00112018826164310
0.4 8 0 0.119266543219619 0
0.4 8 2 0.00620461237588095 0.00112018826164310
0.4 8 4 0.0189512054166748 0.00451043070316527
0.4 8 6 0.0336333842390623 0.0108506471008906
0.4 8 8 0.0612634986245933 0.0253879611438346
0.4 9 -9 0.0674855122873138 -0.0310082395726641
0.4 9 -7 0.0403138481429539 -0.0152939029450324
0.4 9 -5 0.0269038962725962 -0.00845678393720008
0.4 9 -3 0.0157625903917223 -0.00451789881836006
0.4 9 -1 0.00458199491306727 -0.00101659632350085
0.4 9 1 -0.00458199491306722 -0.00101659632350087
0.4 9 3 -0.0157625903917223 -0.00451789881836005
0.4 9 5 -0.0269038962725962 -0.00845678393720007
0.4 9 7 -0.0403138481429539 -0.0152939029450324
0.4 9 9 -0.0674855122873137 -0.0310082395726641
0.4 10 -10 0.0650509078529110 -0.0285652699149217
0.4 10 -8 0.0403654440245084 -0.0138906585752481
0.4 10 -6 0.0285951876726406 -0.00724307084901969
0.4 10 -4 0.0189493124449676 -0.00313006335759973
0.4 10 -2 0.00966642924979616 -0.000759922705953858
0.4 10 0 0.131394034009865 0
0.4 10 2 0.00966642924979617 0.000759922705953864
0.4 10 4 0.0189493124449676 0.00313006335759974
0.4 10 6 0.0285951876726406 0.00724307084901970
0.4 10 8 0.0403654440245084 0.0138906585752481
0.4 10 10 0.0650509078529109 0.0285652699149217
0.4 11 -11 0.0598532903373912 -0.0296344146934404
0.4 11 -9 0.0380855268264522 -0.0150340410456080
0.4 11 -7 0.0279197645719880 -0.00834658227781398
0.4 11 -5 0.0196063152831053 -0.00402324305156401
0.4 11 -3 0.0116974914083417 -0.00127182489279263
0.4 11 -1 0.00308130407592406 0.00213384932911173
0.4 11 1 -0.00308130407592404 0.00213384932911193
0.4 11 3 -0.0116974914083417 -0.00127182489279263
0.4 11 5 -0.0196063152831053 -0.00402324305156400
0.4 11 7 -0.0279197645719879 -0.00834658227781399
0.4 11 9 -0.0380855268264522 -0.0150340410456080
0.4 11 11 -0.0598532903373912 -0.0296344146934404
0.4 12 -12 0.0561343426509943 -0.0312133247216827
0.4 12 -10 0.0366314404986005 -0.0165989845555250
0.4 12 -8 0.0277683912528962 -0.00989894613032085
0.4 12 -6 0.0205556852382472 -0.00543385945171128
0.4 12 -4 0.0136919984065883 -0.00239952436838698
0.4 12 -2 0.00656973354550805 -0.000579220413335128
0.4 12 0 0.131347647349590 0
0.4 12 2 0.00656973354550812 0.000579220413335094
0.4 12 4 0.0136919984065884 0.00239952436838699
0.4 12 6 0.0205556852382471 0.00543385945171124
0.4 12 8 0.0277683912528961 0.00989894613032085
0.4 12 10 0.0366314404986005 0.0165989845555250
0.4 12 12 0.0561343426509943 0.0312133247216827
0.5 0 0 -10.1437367621470 0
0.5 1 -1 0.0761902919659149 -4.57614322388751
0.5 1 1 -0.0761902919659149 -4.57614322388751
0.5 2 -2 2.27675516231785 0.0122435634488883
0.5 2 0 1.93202622909979 0
0.5 2 2 2.27675516231785 -0.0122435634488884
0.5 3 -3 0.0654402456873759 1.14007904072739
0.5 3 -1 0.0169987969942285 0.863895292549294
0.5 3 1 -0.0169987969942285 0.863895292549293
0.5 3 3 -0.0654402456873759 1.14007904072739
0.5 4 -4 -0.521272426682458 -0.0236796651518347
0.5 4 -2 -0.415065347391886 -0.00636491484525321
0.5 4 0 -0.340835474651290 0
0.5 4 2 -0.415065347391887 0.00636491484525322
0.5 4 4 -0.521272426682458 0.0236796651518347
0.5 5 -5 0.0823393327081885 -0.338818607556522
0.5 5 -3 0.0370392520971505 -0.246017780147036
0.5 5 -1 0.0114499160890909 -0.221838922201158
0.5 5 1 -0.0114499160890910 -0.221838922201158
0.5 5 3 -0.0370392520971505 -0.246017780147036
0.5 5 5 -0.0823393327081885 -0.338818607556522
0.5 6 -6 0.249970033010942 -0.0141199505759753
0.5 6 -4 0.166891461813690 -0.00397080605582095
0.5 6 -2 0.135630927809335 -0.000438727336702641
0.5 6 0 0.220681622022414 0
0.5 6 2 0.135630927809335 0.000438727336702617
0.5 6 4 0.166891461813690 0.00397080605582094
0.5 6 6 0.249970033010942 0.0141199505759752
0.5 7 -7 0.0658674438002962 0.0757181402941766
0.5 7 -5 0.0354226076243646 0.0624404265796021
0.5 7 -3 0.0197796600274949 0.0611420651597722
0.5 7 -1 0.00604881622747336 0.0622492581364820
0.5 7 1 -0.00604881622747335 0.0622492581364820
0.5 7 3 -0.0197796600274949 0.0611420651597722
0.5 7 5 -0.0354226076243646 0.0624404265796021
0.5 7 7 -0.0658674438002962 0.0757181402941766
0.5 8 -8 0.0139848538491201 -0.0247301883702911
0.5 8 -6 -0.000441424170118519 -0.0106278191410111
0.5 8 -4 -0.0107540120340040 -0.00455362138255469
0.5 8 -2 -0.0209937922374654 -0.00124005299722652
0.5 8 0 0.0817740498204171 0
0.5 8 2 -0.0209937922374654 0.00124005299722645
0.5 8 4 -0.0107540120340040 0.00455362138255468
0.5 8 6 -0.000441424170118516 0.0106278191410110
0.5 8 8 0.0139848538491201 0.0247301883702911
0.5 9 -9 0.0630044825633430 -0.0515875577192691
0.5 9 -7 0.0372019317573932 -0.0308059252018807
0.5 9 -5 0.0247084467581686 -0.0228202833910967
0.5 9 -3 0.0144460298962144 -0.0184959533652718
0.5 9 -1 0.00421146435297832 -0.0147874917825280
0.5 9 1 -0.00421146435297835 -0.0147874917825281
0.5 9 3 -0.0144460298962144 -0.0184959533652718
0.5 9 5 -0.0247084467581686 -0.0228202833910968
0.5 9 7 -0.0372019317573932 -0.0308059252018807
0.5 9 9 -0.0630044825633430 -0.0515875577192692
0.5 10 -10 0.0725311290802074 -0.0256866011033144
0.5 10 -8 0.0460271173268337 -0.0123053641160164
0.5 10 -6 0.0342229900106603 -0.00634229185325383
0.5 10 -4 0.0249924100254159 -0.00269471967025156
0.5 10 -2 0.0163609177204725 -0.000621809292210614
0.5 10 0 0.126638738763174 0
0.5 10 2 0.0163609177204725 0.000621809292210590
0.5 10 4 0.0249924100254159 0.00269471967025156
0.5 10 6 0.0342229900106603 0.00634229185325388
0.5 10 8 0.0460271173268337 0.0123053641160164
0.5 10 10 0.0725311290802074 0.0256866011033144
0.5 11 -11 0.0548283624100094 -0.0201175945073523
0.5 11 -9 0.0345607374656525 -0.00846639232972301
0.5 11 -7 0.0252202436872435 -0.00288895465172765
0.5 11 -5 0.0176712063656963 0.000773714380093563
0.5 11 -3 0.0105339300944424 0.00312751003451011
0.5 11 -1 0.00277850439757111 0.00641585316368898
0.5 11 1 -0.00277850439757115 0.00641585316368931
0.5 11 3 -0.0105339300944424 0.00312751003451009
0.5 11 5 -0.0176712063656963 0.000773714380093542
0.5 11 7 -0.0252202436872436 -0.00288895465172760
0.5 11 9 -0.0345607374656525 -0.00846639232972302
0.5 11 11 -0.0548283624100094 -0.0201175945073524
0.5 12 -12 0.0474697293356919 -0.0289084203864531
0.5 12 -10 0.0303233932744353 -0.0152515430346130
0.5 12 -8 0.0224309631378568 -0.00907176957235223
0.5 12 -6 0.0159858796955520 -0.00498522997953750
0.5 12 -4 0.00983603564266413 -0.00221409907495257
0.5 12 -2 0.00342519516261398 -0.000545760161842913
0.5 12 0 0.116572734687297 0
0.5 12 2 0.00342519516261400 0.000545760161842879
0.5 12 4 0.00983603564266408 0.00221409907495258
0.5 12 6 0.0159858796955520 0.00498522997953750
0.5 12 8 0.0224309631378567 0.00907176957235223
0.5 12 10 0.0303233932744352 0.0152515430346130
0.5 12 12 0.0474697293356919 0.0289084203864531
0.6 0 0 -10.5289513556640 0
0.6 1 -1 0.0681929494783944 -5.63636203509189
0.6 1 1 -0.0681929494783944 -5.63636203509189
0.6 2 -2 3.30871145174250 0.0220468689437342
0.6 2 0 2.81532127150738 0
0.6 2 2 3.30871145174250 -0.0220468689437342
0.6 3 -3 0.0457425502692657 2.01839875598264
0.6 3 -1 0.0114811520536340 1.52473447298699
0.6 3 1 -0.0114811520536340 1.52473447298699
0.6 3 3 -0.0457425502692657 2.01839875598264
0.6 4 -4 -1.18404333212531 -0.0336656161512821
0.6 4 -2 -0.905406032713801 -0.0102311206681538
0.6 4 0 -0.821665802145964 0
0.6 4 2 -0.905406032713801 0.0102311206681537
0.6 4 4 -1.18404333212531 0.0336656161512821
0.6 5 -5 0.0858921650725931 -0.812812855561479
0.6 5 -3 0.0378222576633710 -0.602706535576814
0.6 5 -1 0.0117899892630812 -0.550534831503825
0.6 5 1 -0.0117899892630811 -0.550534831503825
0.6 5 3 -0.0378222576633710 -0.602706535576814
0.6 5 5 -0.0858921650725932 -0.812812855561478
0.6 6 -6 0.587731930520324 -0.00367770382465540
0.6 6 -4 0.416960451622948 0.00106379372686119
0.6 6 -2 0.364741798329941 0.00169703568381883
0.6 6 0 0.436351279692143 0
0.6 6 2 0.364741798329941 -0.00169703568381883
0.6 6 4 0.416960451622948 -0.00106379372686121
0.6 6 6 0.587731930520325 0.00367770382465542
0.6 7 -7 0.0528629482663481 0.321560164344857
0.6 7 -5 0.0277867267747589 0.241747725999755
0.6 7 -3 0.0155280596734592 0.223412131343548
0.6 7 -1 0.00469922966816289 0.217947650906425
0.6 7 1 -0.00469922966816285 0.217947650906426
0.6 7 3 -0.0155280596734592 0.223412131343548
0.6 7 5 -0.0277867267747589 0.241747725999755
0.6 7 7 -0.0528629482663481 0.321560164344857
0.6 8 -8 -0.162544148434034 -0.0287500801893961
0.6 8 -6 -0.129354595889842 -0.0128714511958803
0.6 8 -4 -0.125829742379383 -0.00606991347478298
0.6 8 -2 -0.129576548895389 -0.00205847447038420
0.6 8 0 -0.0361788891929405 0
0.6 8 2 -0.129576548895389 0.00205847447038418
0.6 8 4 -0.125829742379383 0.00606991347478298
0.6 8 6 -0.129354595889842 0.0128714511958803
0.6 8 8 -0.162544148434034 0.0287500801893961
0.6 9 -9 0.0627056558125681 -0.169769640687456
0.6 9 -7 0.0362684039783878 -0.117353628018037
0.6 9 -5 0.0238938475122550 -0.100717646227394
0.6 9 -3 0.0139071340378777 -0.0927444223764963
0.6 9 -1 0.00409361059910403 -0.0875398098192410
0.6 9 1 -0.00409361059910398 -0.0875398098192409
0.6 9 3 -0.0139071340378777 -0.0927444223764963
0.6 9 5 -0.0238938475122549 -0.100717646227394
